nr_of_tries_median,nr_of_tries_sum,total_nr_of_empty_and_wrong_answers,f1_nodes,f1_nodes_and_types,f1_TOTAL
1.6666666666666667,28.666666666666668,3.3333333333333335,0.6666666666666666,0.0,0.2222222222222222
3.6666666666666665,36.0,7.0,0.0,0.0,0.0
2.3333333333333335,37.0,10.0,0.0,0.0,0.0
4.0,40.666666666666664,14.0,0.0,0.0,0.0
3.0,33.666666666666664,2.0,1.0,0.0,0.3333333333333333
2.3333333333333335,32.333333333333336,3.6666666666666665,0.0,0.0,0.0
2.0,25.666666666666668,1.3333333333333333,1.0,0.0,0.3333333333333333
1.0,21.0,2.6666666666666665,0.6666666666666666,0.0,0.2222222222222222
3.0,28.333333333333332,6.333333333333333,0.0,0.0,0.0
1.6666666666666667,29.333333333333332,9.333333333333334,0.0,0.0,0.0
3.3333333333333335,33.0,13.333333333333334,0.0,0.0,0.0
2.3333333333333335,26.0,1.3333333333333333,1.0,0.0,0.3333333333333333
1.6666666666666667,24.666666666666668,3.0,0.0,0.0,0.0
2.0,29.333333333333332,2.0,1.0,0.0,0.3333333333333333
4.0,36.666666666666664,5.666666666666667,0.0,0.0,0.0
2.6666666666666665,37.666666666666664,8.666666666666666,0.0,0.0,0.0
4.333333333333333,41.333333333333336,12.666666666666666,1.0,0.0,0.3333333333333333
3.3333333333333335,34.333333333333336,0.6666666666666666,1.0,0.0,0.3333333333333333
2.6666666666666665,33.0,2.3333333333333335,0.0,0.0,0.0
3.0,32.0,7.0,1.0,0.0,0.3333333333333333
1.6666666666666667,33.0,10.0,1.0,0.0,0.3333333333333333
3.3333333333333335,36.666666666666664,14.0,1.0,0.0,0.3333333333333333
2.3333333333333335,29.666666666666668,2.0,1.0,0.0,0.3333333333333333
1.6666666666666667,28.333333333333332,3.6666666666666665,1.0,0.0,0.3333333333333333
